id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,natural_log,log_base2,log_base10
109,533352170,60,3,0.0,13517,0,3,4,4,3,1,6,1,7,1,2.0,6,8,1976,2005,2,8,11,7,3.0,289.0,4,3,5,3.0,3.0,1.0,6.0,533.0,1.0,0.0,192.0,725.0,5,5,1,5,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,8,0,0.0,5.0,1976.0,2.0,2.0,475.0,3.0,3.0,3,0,44,0,0,0,0,0.0,0,3,2010,10,130500,11.779128505744886,16.99369028123197,5.1156105116743
544,531379050,60,3,43.0,11492,0,3,4,4,3,1,5,7,7,1,2.0,7,5,1996,1997,2,8,3,3,3.0,132.0,4,3,4,4.0,3.0,1.0,6.0,637.0,1.0,0.0,276.0,913.0,5,5,1,5,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,8,1,3.0,5.0,1997.0,2.0,2.0,559.0,3.0,3.0,3,0,74,0,0,0,0,0.0,0,4,2009,10,220000,12.301382825334498,17.747143998186747,5.342422680822207
153,535304180,20,3,68.0,7922,0,4,4,4,5,1,9,7,7,1,1.0,5,7,1953,2007,2,8,3,3,0.0,0.0,3,4,5,3.0,3.0,1.0,6.0,731.0,1.0,0.0,326.0,1057.0,5,3,1,5,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,8,0,0.0,1.0,1953.0,1.0,1.0,246.0,3.0,3.0,3,0,52,0,0,0,0,0.0,0,1,2010,10,109000,11.59910316121128,16.733968609439014,5.037426497940624
318,916386060,60,3,73.0,9802,0,4,4,4,5,1,2,7,7,1,2.0,5,5,2006,2007,2,8,3,3,0.0,0.0,3,3,4,4.0,3.0,1.0,1.0,0.0,1.0,0.0,384.0,384.0,5,4,1,5,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,8,0,0.0,3.0,2007.0,3.0,2.0,400.0,3.0,3.0,3,100,0,0,0,0,0,0.0,0,4,2010,10,174000,12.066810578196666,17.408727780510816,5.2405492482825995
255,906425045,50,3,82.0,14235,0,3,4,4,5,1,5,7,7,1,1.5,6,8,1900,1993,2,8,2,7,0.0,0.0,3,3,4,2.0,4.0,1.0,1.0,0.0,1.0,0.0,676.0,676.0,5,3,1,5,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,8,0,0.0,1.0,1957.0,1.0,2.0,484.0,3.0,3.0,1,0,59,0,0,0,0,0.0,0,3,2010,10,138500,11.83862560460953,17.079526450711274,5.141449773400467
138,535126040,20,3,137.0,16492,0,3,4,4,4,1,9,3,7,1,1.0,6,6,1966,2002,2,8,14,7,0.0,0.0,4,3,5,3.0,3.0,1.0,5.0,247.0,3.0,713.0,557.0,1517.0,5,5,1,5,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,5,1,4.0,5.0,1966.0,3.0,2.0,578.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0,6,2010,10,190000,12.154779351142624,17.535639892993036,5.278753600952829
2827,908186070,180,2,35.0,3675,0,4,4,4,5,1,21,7,7,5,3.0,6,5,2005,2006,2,8,3,3,3.0,82.0,3,3,4,4.0,3.0,4.0,6.0,547.0,1.0,0.0,0.0,547.0,5,4,1,5,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,8,0,0.0,4.0,2005.0,3.0,2.0,525.0,3.0,3.0,3,0,44,0,0,0,0,0.0,0,6,2006,7,140000,11.84939770159144,17.095067301607052,5.146128035678238
145,535154050,20,3,0.0,12160,0,3,4,4,5,1,9,7,7,1,1.0,5,5,1959,1959,4,8,7,7,3.0,180.0,3,3,5,3.0,3.0,1.0,3.0,1000.0,1.0,0.0,188.0,1188.0,5,2,1,5,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,8,0,0.0,5.0,1959.0,2.0,2.0,531.0,3.0,3.0,3,0,0,0,0,0,0,3.0,0,5,2010,6,142000,11.863582336583399,17.11553140416677,5.152288344383057
1942,535353130,20,3,0.0,15783,0,4,4,4,5,1,8,9,7,1,1.0,5,5,1952,1952,2,8,2,2,0.0,0.0,3,3,5,3.0,3.0,1.0,3.0,292.0,1.0,0.0,632.0,924.0,5,3,1,5,924,0,0,924,0.0,0.0,1,0,2,1,3,6,8,0,0.0,1.0,1952.0,1.0,1.0,420.0,3.0,3.0,3,0,324,0,0,0,0,3.0,400,6,2007,10,112500,11.630708500626612,16.779565475879124,5.051152522447381
1956,535426130,60,3,70.0,11606,0,3,2,4,5,3,9,7,7,1,2.0,5,5,1969,1969,2,8,7,7,3.0,192.0,3,3,4,4.0,3.0,3.0,3.0,650.0,1.0,0.0,390.0,1040.0,5,3,1,5,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,8,2,3.0,5.0,1969.0,1.0,2.0,504.0,3.0,3.0,3,335,0,0,0,0,0,0.0,0,9,2007,10,135000,11.813030057420567,17.042599881712917,5.1303337684950066
